Catalog #,Accession #,Class 1,Kingdom,Phylum/Division,Class,Order,Family,Sci. Name:Genus,Sci. Name:Species,Common Name,TSN,Item Count,Quantity,Storage Unit,Description,Dimens/Weight,Collector,Collection #,Collection Date,Condition,Condition Desc,Study #,Other Numbers,Cataloger,Catalog Date,Identified By,Ident Date,Repro Method,Locality,Unit,State,Reference Datum,Watrbody/Drain:Waterbody,Watrbody/Drain:Drainage,UTM Z/E/N,Lat LongN/W,Elevation,Depth,Depos Environ,Habitat/Comm,Habitat,Slope,Aspect,Soil Type,For/Per/Sub,Assoc Spec,Type Specimen,Threat/Endang,T/E Date,Rare,Exotic/Native,Age,Sex,Notes,Field Season,Ctrl Prop,Location,Object Status,Status Date,Catalog Folder,Maint. Cycle
BELA   56173,BELA-00128,BIOLOGY,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Allantoparmelia,alpicola,"","",1,"",EA,Allantoparmelia alpicola; whole organism,"","NEITLICH, PETER",fl26069,7/1/2000,COM/GD,"","",Arctos=UAMb:Herb:56383 ALAAC=L27200,"METZGAR, JORDAN",11/11/2015,"HOLT, EMILY",7/1/2000,"",Granite tors above Serpentine Hot Springs,"",AK,WGS 84,"","","",N65.84222/W164.60405,400 m,"","","",,"","","","","",,"","","","","","","",2000,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
BELA   56174,BELA-00128,BIOLOGY,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Allantoparmelia,alpicola,"","",1,"",EA,Allantoparmelia alpicola; whole organism,"","NEITLICH, PETER",3108,7/1/2000,COM/GD,"","",Arctos=UAMb:Herb:56384 ALAAC=L27194,"METZGAR, JORDAN",11/11/2015,"HOLT, EMILY",7/1/2008,"",Granite tors above Serpentine Hot Springs,"",AK,WGS 84,"","","",N65.84222/W164.60405,400 m,"","","",,"","","","","",,"","","","","","","",2000,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
BELA   56175,BELA-00128,BIOLOGY,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Allantoparmelia,almquistii,"","",1,"",EA,Allantoparmelia almquistii; whole organism,"","NEITLICH, PETER",3117,7/1/2000,COM/GD,"","",Arctos=UAMb:Herb:56385 ALAAC=L27203,"METZGAR, JORDAN",11/11/2015,"HOLT, EMILY",7/1/2000,"",Granite tors above Serpentine Hot Springs,"",AK,WGS 84,"","","",N65.84222/W164.60405,400 m,"","","",,"","","","","",,"","","","","","","",2000,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
BELA   56176,BELA-00128,BIOLOGY,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Cetraria,kamczatica,"","",1,"",EA,Cetraria kamczatica; whole organism,"","NEITLICH, PETER",3107,7/1/2000,COM/GD,"","",Arctos=UAMb:Herb:56386 ALAAC=L27193,"METZGAR, JORDAN",11/11/2015,"HOLT, EMILY",7/1/2000,"",Granite tors above Serpentine Hot Springs,"",AK,WGS 84,"","","",N65.84222/W164.60405,400 m,"","","",,"","","","","",,"","","","","","","",2000,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
BELA   56177,BELA-00128,BIOLOGY,Fungi,Ascomycota,Ascomycetes,Lecanorales,Stereocaulaceae,Stereocaulon,grande,"","",1,"",EA,Stereocaulon grande; whole organism,"","NEITLICH, PETER",3093,7/1/2000,COM/GD,"","",Arctos=UAMb:Herb:56388 ALAAC=L27085,"METZGAR, JORDAN",11/11/2015,"HOLT, EMILY",7/1/2000,"",Granite tors above Serpentine Hot Springs,"",AK,WGS 84,"","","",N65.84222/W164.60405,400 m,"","","",,"","","","","",,"","","","","","","",2000,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
BELA   56178,BELA-00128,BIOLOGY,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,uncialis,"","",1,"",EA,Cladonia uncialis; whole organism,"","NEITLICH, PETER",3195,7/1/2000,COM/GD,"","",Arctos=UAMb:Herb:56389 ALAAC=L27297,"METZGAR, JORDAN",11/11/2015,"HOLT, EMILY",7/1/2000,"","Immediately south of lava beds, Bering Land Bridge","",AK,WGS 84,"","","",N65.4938/W163.60045,110 m,"","","",,"","","","","",,"","","","","","","",2000,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
BELA   56180,BELA-00128,BIOLOGY,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Brodoa,oroarctica,"","",1,"",EA,Brodoa oroarctica; whole organism,"","NEITLICH, PETER",3089,7/1/2000,COM/GD,"","",Arctos=UAMb:Herb:56390 ALAAC=L27079,"METZGAR, JORDAN",11/11/2015,"HOLT, EMILY",7/1/2000,"",Granite tors above Serpentine Hot Springs,"",AK,WGS 84,"","","",N65.84222/W164.60405,400 m,"","","",,"","","","","",,"","","","","","","",2000,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
BELA   56181,BELA-00128,BIOLOGY,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Ramalinaceae,Ramalina,thrausta,"","",1,"",EA,Ramalina thrausta; whole organism,"","NEITLICH, PETER",3099,7/1/2000,COM/GD,"","",Arctos=UAMb:Herb:56391 ALAAC=L27091,"METZGAR, JORDAN",11/11/2015,"HOLT, EMILY",7/1/2000,"",Granite tors above Serpentine Hot Springs,"",AK,WGS 84,"","","",N65.84222/W164.60405,400 m,"","","",,"","","","","",,"","","","","","","",2000,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
BELA   56182,BELA-00128,BIOLOGY,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Pseudephebe,minuscula,"","",1,"",EA,Pseudephebe minuscula; whole organism,"","NEITLICH, PETER",3104,7/1/2000,COM/GD,"","",Arctos=UAMb:Herb:56392 ALAAC=L27190,"METZGAR, JORDAN",11/11/2015,"HOLT, EMILY",7/1/2000,"",Granite tors above Serpentine Hot Springs,"",AK,WGS 84,"","","",N65.84222/W164.60405,400 m,"","","",,"","","","","",,"","","","","","","",2000,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
BELA   56183,BELA-00128,BIOLOGY,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Hypogymnia,physodes,"","",1,"",EA,Hypogymnia physodes; whole organism,"","NEITLICH, PETER",3115,7/1/2000,COM/GD,"","",Arctos=UAMb:Herb:56393 ALAAC=L27201,"METZGAR, JORDAN",11/11/2015,"HOLT, EMILY",7/1/2000,"",Granite tors above Serpentine Hot Springs,"",AK,WGS 84,"","","",N65.84222/W164.60405,400 m,"","","",,"","","","","",,"","","","","","","",2000,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
BELA   56179,BELA-00128,BIOLOGY,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Brodoa,oroarctica,"","",1,"",EA,Brodoa oroarctica; whole organism,"","NEITLICH, PETER",3116,7/1/2000,COM/GD,"","",Arctos=UAMb:Herb:56394 ALAAC=L27202,"METZGAR, JORDAN",11/11/2015,"HOLT, EMILY",7/1/2000,"",Granite tors above Serpentine Hot Springs,"",AK,WGS 84,"","","",N65.84222/W164.60405,400 m,"","","",,"","","","","",,"","","","","","","",2000,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
BELA   56184,BELA-00128,BIOLOGY,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Hypogymnia,bitteri,"","",1,"",EA,Hypogymnia bitteri; whole organism,"","NEITLICH, PETER",3119,7/1/2000,COM/GD,"","",Arctos=UAMb:Herb:56395 ALAAC=L27205,"METZGAR, JORDAN",11/11/2015,"HOLT, EMILY",7/1/2000,"",Granite tors above Serpentine Hot Springs,"",AK,WGS 84,"","","",N65.84222/W164.60405,400 m,"","","",,"","","","","",,"","","","","","","",2000,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
BELA   56185,BELA-00128,BIOLOGY,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Hypogymnia,bitteri,"","",1,"",EA,Hypogymnia bitteri; whole organism,"","NEITLICH, PETER",3097,7/1/2000,COM/GD,"","",Arctos=UAMb:Herb:56396 ALAAC=L27089,"METZGAR, JORDAN",11/11/2015,"HOLT, EMILY",7/1/2000,"",Granite tors above Serpentine Hot Springs,"",AK,WGS 84,"","","",N65.84222/W164.60405,400 m,"","","",,"","","","","",,"","","","","","","",2000,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
BELA   56208,BELA-00128,BIOLOGY,Fungi,Ascomycota,Ascomycetes,Lecanorales,Umbilicariaceae,Umbilicaria,hyperborea,"","",1,"",EA,Umbilicaria hyperborea; whole organism,"","NEITLICH, PETER",20277,8/13/2000,COM/GD,"","",Arctos=UAMb:Herb:56397 ALAAC=L24389,"METZGAR, JORDAN",11/11/2015,"HOLT, EMILY",8/13/2000,"","In Bering Land Bridge National Preserve, Plot K","",AK,WGS 84,"","","",N65.33863/W163.3376,,"","","",,"","","","","",,"","","","","","","",2000,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
BELA   56209,BELA-00128,BIOLOGY,Fungi,,Lecanoromycetes,,Icmadophilaceae,Thamnolia,subuliformis,"","",1,"",EA,Thamnolia subuliformis; whole organism,"","NEITLICH, PETER",20271,8/13/2000,COM/GD,"","",Arctos=UAMb:Herb:56398 ALAAC=L24384,"METZGAR, JORDAN",11/11/2015,"HOLT, EMILY",8/13/2000,"","In Bering Land Bridge National Preserve, Plot E","",AK,WGS 84,"","","",N65.84483/W163.68788,,"","","",,"","","","","",,"","","","","","","",2000,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
BELA   56210,BELA-00128,BIOLOGY,Fungi,,Lecanoromycetes,,Icmadophilaceae,Thamnolia,subuliformis,"","",1,"",EA,Thamnolia subuliformis; whole organism,"","NEITLICH, PETER",20272,8/13/2000,COM/GD,"","",Arctos=UAMb:Herb:56399 ALAAC=L24385,"METZGAR, JORDAN",11/11/2015,"HOLT, EMILY",8/13/2000,"","In Bering Land Bridge National Preserve, Plot D","",AK,WGS 84,"","","",N65.86603/W163.5602,,"","","",,"","","","","",,"","","","","","","",2000,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
BELA   56211,BELA-00128,BIOLOGY,Fungi,Ascomycota,Ascomycetes,Lecanorales,Cladoniaceae,Cladina,arbuscula,"","",1,"",EA,Cladina arbuscula; whole organism,"","NEITLICH, PETER",20235,8/13/2000,COM/GD,"","",Arctos=UAMb:Herb:56400 ALAAC=L24363,"METZGAR, JORDAN",11/11/2015,"HOLT, EMILY",8/13/2000,"","In Bering Land Bridge National Preserve, Plot J","",AK,WGS 84,"","","",N65.44219/W163.46541,,"","","",,"","","","","",,"","","","","","","",2000,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
BELA   56186,BELA-00128,BIOLOGY,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Hypogymnia,bitteri,"","",1,"",EA,Hypogymnia bitteri; whole organism,"","NEITLICH, PETER",3118,7/1/2000,COM/GD,"","",Arctos=UAMb:Herb:56401 ALAAC=L27204,"METZGAR, JORDAN",11/11/2015,"HOLT, EMILY",7/1/2000,"",Granite tors above Serpentine Hot Springs,"",AK,WGS 84,"","","",N65.84222/W164.60405,400 m,"","","",,"","","","","",,"","","","","","","",2000,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
BELA   56212,BELA-00128,BIOLOGY,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,squamosa,"","",1,"",EA,Cladonia squamosa; whole organism,"","NEITLICH, PETER",20254,8/13/2000,COM/GD,"","",Arctos=UAMb:Herb:56402 ALAAC=L24373,"METZGAR, JORDAN",11/11/2015,"HOLT, EMILY",8/13/2000,"","In Bering Land Bridge National Preserve, Plot J","",AK,WGS 84,"","","",N65.44219/W163.46541,,"","","",,"","","","","",,"","","","","","","",2000,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
