"Catalog #","Accession #","Class 1","Kingdom","Phylum/Division","Class","Order","Family","Sci. Name:Genus","Sci. Name:Species","Common Name","TSN","Collection #","Item Count","Quantity","Storage Unit","Description","Dimens/Weight","Collector","Collection Date","Condition","Condition Desc","Study #","Other Numbers","Cataloger","Catalog Date","Identified By","Ident Date","Repro Method","Locality","Unit","State","Reference Datum","Watrbody/Drain:Waterbody","Watrbody/Drain:Drainage","UTM Z/E/N","Lat LongN/W","Elevation","Depth","Depos Environ","Habitat/Comm","Habitat","Slope","Aspect","Soil Type","For/Per/Sub","Assoc Spec","Type Specimen","Threat/Endang","T/E Date","Rare","Exotic/Native","Age","Sex","NOTES","Field Season","Ctrl Prop","Location","Object Status","Status Date","Catalog Folder","Maint. Cycle"
"BELA   56173","BELA-00128","BIOLOGY","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","Allantoparmelia","alpicola","","190558","fl26069","1.00","0.00","EA","Allantoparmelia alpicola ; Lichen specimen","","Peter Neitlich","7/1/2000","COM/EX","","","GUID:UAMb:Herb:56383; ALAAC#L27200; ARCTOS ACC # 2012.11.Cryp; Collection Event ID 10946140","ANDERSON, MARGARET M.","12/12/2016 12:00:00 AM","Holt, Emily A.","7/1/2000","","Bering Land Bridge National Preserve","BELA","AK","","","","","65.84222/-164.60405","400 m","","","","","","","","","","","","","","","","","","2000","N","UAMN - ALA HERBARIUM","LOAN OUT - NON-NPS - NON-FEDERAL","2022","",""
"BELA   56174","BELA-00128","BIOLOGY","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","Allantoparmelia","alpicola","","190558","3108","1.00","0.00","EA","Allantoparmelia alpicola; Lichen specimen","","Peter Neitlich","7/1/2000","COM/EX","","","GUID:UAMb:Herb:56384; ALAAC#L27194; ARCTOS ACC # 2012.11.Cryp; Collection Event ID 10946140","ANDERSON, MARGARET M.","12/12/2016 12:00:00 AM","Holt, Emily A.","7/1/2000","","Bering Land Bridge National Preserve","BELA","AK","","","","","65.84222/-164.60405","400 m","","","","","","","","","","","","","","","","","","2000","N","UAMN - ALA HERBARIUM","LOAN OUT - NON-NPS - NON-FEDERAL","2022","",""
"BELA   56175","BELA-00128","BIOLOGY","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","Allantoparmelia","almquistii","","190557","3117","1.00","0.00","EA","Allantoparmelia almquistii ; Lichen specimen","","Peter Neitlich","7/1/2000","COM/EX","","","GUID:UAMb:Herb:56385; ALAAC#L27203; ARCTOS ACC # 2012.11.Cryp; Collection Event ID 10946140","ANDERSON, MARGARET M.","12/12/2016 12:00:00 AM","Holt, Emily A.","7/1/2000","","Bering Land Bridge National Preserve","BELA","AK","","","","","65.84222/-164.60405","400 m","","","","","","","","","","","","","","","","","","2000","N","UAMN - ALA HERBARIUM","LOAN OUT - NON-NPS - NON-FEDERAL","2022","",""
"BELA   56176","BELA-00128","BIOLOGY","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","Cetraria","kamczatica","","190622","3107","1.00","0.00","EA","Cetraria kamczatica ; Lichen specimen","","Peter Neitlich","7/1/2000","COM/EX","","","GUID:UAMb:Herb:56386; ALAAC#L27193; ARCTOS ACC # 2012.11.Cryp; Collection Event ID 10946140","ANDERSON, MARGARET M.","12/12/2016 12:00:00 AM","Holt, Emily A.","7/1/2000","","Bering Land Bridge National Preserve","BELA","AK","","","","","65.84222/-164.60405","400 m","","","","","","","","","","","","","","","","","","2000","N","UAMN - ALA HERBARIUM","LOAN OUT - NON-NPS - NON-FEDERAL","2022","",""
"BELA   56177","BELA-00128","BIOLOGY","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Stereocaulaceae","Stereocaulon","grande","","","3093","1.00","0.00","EA","Stereocaulon grande ; Lichen specimen","","Peter Neitlich","7/1/2000","COM/EX","","","GUID:UAMb:Herb:56388; ALAAC#L27085; ARCTOS ACC # 2012.11.Cryp; Collection Event ID 10946140","ANDERSON, MARGARET M.","12/12/2016 12:00:00 AM","Holt, Emily A.","7/1/2000","","Bering Land Bridge National Preserve","BELA","AK","","","","","65.84222/-164.60405","400 m","","","","","","","","","","","","","","","","","","2000","N","UAMN - ALA HERBARIUM","LOAN OUT - NON-NPS - NON-FEDERAL","2022","",""
"BELA   56178","BELA-00128","BIOLOGY","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Cladoniaceae","Cladonia","uncialis","","189989","3195","1.00","0.00","EA","Cladonia uncialis ; Lichen specimen","","Peter Neitlich","7/1/2000","COM/EX","","","GUID:UAMb:Herb:56389; ALAAC#L27297; ARCTOS ACC # 2012.11.Cryp; Collection Event ID 10946141","ANDERSON, MARGARET M.","12/12/2016 12:00:00 AM","Holt, Emily A.","7/1/2000","","Bering Land Bridge National Preserve","BELA","AK","","","","","65.4938/-163.60045","110 m","","","","","","","","","","","","","","","","","","2000","N","UAMN - ALA HERBARIUM","LOAN OUT - NON-NPS - NON-FEDERAL","2022","",""
"BELA   56179","BELA-00128","BIOLOGY","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","Brodoa","oroarctica","","190565","3116","1.00","0.00","EA","Brodoa oroarctica ; Lichen specimen","","Peter Neitlich","7/1/2000","COM/EX","","","GUID:UAMb:Herb:56394; ALAAC#L27202; ARCTOS ACC # 2012.11.Cryp; Collection Event ID 10946142","ANDERSON, MARGARET M.","12/12/2016 12:00:00 AM","Holt, Emily A.","7/1/2000","","Bering Land Bridge National Preserve","BELA","AK","","","","","65.84222/-164.60405","400 m","","","","","","","","","","","","","","","","","","2000","N","UAMN - ALA HERBARIUM","LOAN OUT - NON-NPS - NON-FEDERAL","2022","",""
"BELA   56180","BELA-00128","BIOLOGY","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","Brodoa","oroarctica","","190565","3089","1.00","0.00","EA","Brodoa oroarctica ; Lichen specimen","","Peter Neitlich","7/1/2000","COM/EX","","","GUID:UAMb:Herb:56390; ALAAC#L27079; ARCTOS ACC # 2012.11.Cryp; Collection Event ID 10946140","ANDERSON, MARGARET M.","12/12/2016 12:00:00 AM","Holt, Emily A.","7/1/2000","","Bering Land Bridge National Preserve","BELA","AK","","","","","65.84222/-164.60405","400 m","","","","","","","","","","","","","","","","","","2000","N","UAMN - ALA HERBARIUM","LOAN OUT - NON-NPS - NON-FEDERAL","2022","",""
"BELA   56181","BELA-00128","BIOLOGY","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Ramalinaceae","Ramalina","thrausta","","190895","3099","1.00","0.00","EA","Ramalina thrausta ; Lichen specimen","","Peter Neitlich","7/1/2000","COM/EX","","","GUID:UAMb:Herb:56391; ALAAC#L27091; ARCTOS ACC # 2012.11.Cryp; Collection Event ID 10946140","ANDERSON, MARGARET M.","12/12/2016 12:00:00 AM","Holt, Emily A.","7/1/2000","","Bering Land Bridge National Preserve","BELA","AK","","","","","65.84222/-164.60405","400 m","","","","","","","","","","","","","","","","","","2000","N","UAMN - ALA HERBARIUM","LOAN OUT - NON-NPS - NON-FEDERAL","2022","",""
"BELA   56182","BELA-00128","BIOLOGY","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","Pseudephebe","minuscula","","190733","3104","1.00","0.00","EA","Pseudephebe minuscula ; Lichen specimen","","Peter Neitlich","7/1/2000","COM/EX","","","GUID:UAMb:Herb:56392; ALAAC#L27190; ARCTOS ACC # 2012.11.Cryp; Collection Event ID 10946140","ANDERSON, MARGARET M.","12/12/2016 12:00:00 AM","Holt, Emily A.","7/1/2000","","Bering Land Bridge National Preserve","BELA","AK","","","","","65.84222/-164.60405","400 m","","","","","","","","","","","","","","","","","","2000","N","UAMN - ALA HERBARIUM","LOAN OUT - NON-NPS - NON-FEDERAL","2022","",""
