Catalog #,Accession #,Class 1,Kingdom,Phylum/Division,Class,Order,Family,Sci. Name:Genus,Sci. Name:Species,Common Name,TSN,Item Count,Quantity,Storage Unit,Description,Dimens/Weight,Collector,Collection #,Collection Date,Condition,Condition Desc,Study #,Other Numbers,Cataloger,Catalog Date,Identified By,Ident Date,Repro Method,Locality,Unit,State,Reference Datum,Watrbody/Drain:Waterbody,Watrbody/Drain:Drainage,UTM Z/E/N,Lat LongN/W,Elevation,Depth,Depos Environ,Habitat/Comm,Habitat,Slope,Aspect,Soil Type,For/Per/Sub,Assoc Spec,Type Specimen,Threat/Endang,T/E Date,Rare,Exotic/Native,Age,Sex,Notes,Field Season,Ctrl Prop,Location,Object Status,Status Date,Catalog Folder,Maint. Cycle
KATM   36100,KATM-00305,BIOLOGY,Plantae,Polypodiophyta,Polypodiopsida,Equisetales,Equisetaceae,Equisetum,fluviatile,"","",1,"",EA,Equisetum fluviatile  vascular plant specimens mounted on herbarium sheet,"","",,,COM/GD,"","",Arctos=UAM:Herb:214615 ALAAC=V143277,"HENSPETER, MARK",1/15/2010,"",12/2/2009,"",,"",AK,WGS 84,"","","",N58.6129166667/W153.6883,,"","","",,"","","","","",,"","","","","","","",,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
KATM   36170,KATM-00305,BIOLOGY,Plantae,Polypodiophyta,Polypodiopsida,Equisetales,Equisetaceae,Equisetum,fluviatile,"","",1,"",EA,Equisetum fluviatile  vascular plant specimens mounted on herbarium sheet,"","",,,COM/GD,"","",Arctos=UAM:Herb:215461 ALAAC=V143347,"HENSPETER, MARK",1/15/2010,"",12/2/2009,"",,"",AK,WGS 84,"","","",N59.24775/W154.7818833333,,"","","",,"","","","","",,"","","","","","","",,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
KATM   36327,KATM-00305,BIOLOGY,Plantae,Polypodiophyta,Polypodiopsida,Polypodiales,Dryopteridaceae,Dryopteris,expansa,"","",1,"",EA,Dryopteris expansa  vascular plant specimens mounted on herbarium sheet,"","",,,COM/GD,"","",Arctos=UAM:Herb:237626 ALAAC=V143504,"HABERIN, ERIC",1/26/2010,"",10/14/2009,"",,"",AK,WGS 84,"","","",N58.20955/W155.9906166667,,"","","",,"","","","","",,"","","","","","","",,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
KATM   35953,KATM-00305,BIOLOGY,Plantae,Angiosperms,,Poales,Cyperaceae,Carex,gmelinii,"","",1,"",EA,Carex gmelinii  vascular plant specimens mounted on herbarium sheet,"","Jansen, Anna",02-3,2002-07-03,COM/GD,"","",Arctos=UAM:Herb:60374 ALAAC=V143130,"MCDONALD, DUSTY",10/22/2004,"",10/18/2004,"","Alaska Peninsula, Swikshak Lagoon, .5 km E of cabin","",AK,WGS 84,"","","",N58.6/W153.76,8 m,"","","","forb graminoid meadow, 100% vegetation cover, moist sandy soil over gravel, numerous","","","","","",,"","","","","","","",2002,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
KATM   35953,KATM-00305,BIOLOGY,Plantae,Angiosperms,,Poales,Cyperaceae,Carex,gmelinii,"","",1,"",EA,Carex gmelinii  vascular plant specimens mounted on herbarium sheet,"","; ; Carlson, Matthew",02-3,2002-07-03,COM/GD,"","",Arctos=UAM:Herb:60374 ALAAC=V143130,"MCDONALD, DUSTY",10/22/2004,"",10/18/2004,"","Alaska Peninsula, Swikshak Lagoon, .5 km E of cabin","",AK,WGS 84,"","","",N58.6/W153.76,8 m,"","","","forb graminoid meadow, 100% vegetation cover, moist sandy soil over gravel, numerous","","","","","",,"","","","","","","",2002,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
KATM   35953,KATM-00305,BIOLOGY,Plantae,Angiosperms,,Poales,Cyperaceae,Carex,gmelinii,"","",1,"",EA,Carex gmelinii  vascular plant specimens mounted on herbarium sheet,"","; Lipkin, Rob",02-3,2002-07-03,COM/GD,"","",Arctos=UAM:Herb:60374 ALAAC=V143130,"MCDONALD, DUSTY",10/22/2004,"",10/18/2004,"","Alaska Peninsula, Swikshak Lagoon, .5 km E of cabin","",AK,WGS 84,"","","",N58.6/W153.76,8 m,"","","","forb graminoid meadow, 100% vegetation cover, moist sandy soil over gravel, numerous","","","","","",,"","","","","","","",2002,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
KATM   35954,KATM-00305,BIOLOGY,Plantae,Angiosperms,,Lamiales,Plantaginaceae,Limosella,aquatica,"","",1,"",EA,Limosella aquatica  vascular plant specimens mounted on herbarium sheet,"","; Lipkin, Rob",02-14,2002-07-03,COM/GD,"","",Arctos=UAM:Herb:60375 ALAAC=V143131,"MCDONALD, DUSTY",10/22/2004,"",10/18/2004,"","Alaska Peninsula, Swikshak Lagoon, Swikshak Spit vic., brackish pond and salt marsh S of Swikshak R. on Swikshak Spit","",AK,WGS 84,"","","",N58.61/W153.72,1 m,"","","","halophytic wet sedge meadow, 100% vegetation cover, silty soil, rare","","","","","",,"","","","","","","",2002,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
KATM   35954,KATM-00305,BIOLOGY,Plantae,Angiosperms,,Lamiales,Plantaginaceae,Limosella,aquatica,"","",1,"",EA,Limosella aquatica  vascular plant specimens mounted on herbarium sheet,"","; ; Carlson, Matthew",02-14,2002-07-03,COM/GD,"","",Arctos=UAM:Herb:60375 ALAAC=V143131,"MCDONALD, DUSTY",10/22/2004,"",10/18/2004,"","Alaska Peninsula, Swikshak Lagoon, Swikshak Spit vic., brackish pond and salt marsh S of Swikshak R. on Swikshak Spit","",AK,WGS 84,"","","",N58.61/W153.72,1 m,"","","","halophytic wet sedge meadow, 100% vegetation cover, silty soil, rare","","","","","",,"","","","","","","",2002,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
KATM   35954,KATM-00305,BIOLOGY,Plantae,Angiosperms,,Lamiales,Plantaginaceae,Limosella,aquatica,"","",1,"",EA,Limosella aquatica  vascular plant specimens mounted on herbarium sheet,"","Jansen, Anna",02-14,2002-07-03,COM/GD,"","",Arctos=UAM:Herb:60375 ALAAC=V143131,"MCDONALD, DUSTY",10/22/2004,"",10/18/2004,"","Alaska Peninsula, Swikshak Lagoon, Swikshak Spit vic., brackish pond and salt marsh S of Swikshak R. on Swikshak Spit","",AK,WGS 84,"","","",N58.61/W153.72,1 m,"","","","halophytic wet sedge meadow, 100% vegetation cover, silty soil, rare","","","","","",,"","","","","","","",2002,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
KATM   35955,KATM-00305,BIOLOGY,Plantae,Angiosperms,,Poales,Poaceae,Festuca,brachyphylla,"","",1,"",EA,Festuca brachyphylla  vascular plant specimens mounted on herbarium sheet,"","; ; Carlson, Matthew",02-31,2002-07-04,COM/GD,"","",Arctos=UAM:Herb:60376 ALAAC=V143132,"MCDONALD, DUSTY",10/22/2004,"",10/18/2004,"","Alaska Peninsula, Swikshak Lagoon, talus knob below peak 2750' N of Swikshak Lagoon","",AK,WGS 84,"","","",N58.62/W153.77,610 m,"","","","herbaceous dwarf shrub tundra patches with open scree rubble, 135¿ azimuth, 12¿ slope, 85% vegetation cover, dry/moist talus and scree, rare","","","","","",,"","","","","","","",2002,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
