Catalog #|Accession #|Class 1|Kingdom|Phylum/Division|Class|Order|Family|Sci. Name:Genus|Sci. Name:Species|Common Name|Item Count|Quantity|Storage Unit|Description|Dimens/Weight|Collector|Collection #|Collection Date|Condition|Condition Desc|Study #|Other Numbers|Cataloger|Catalog Date|Identified By|Ident Date|Repro Method|Locality|Unit|State|Reference Datum|Watrbody/Drain:Waterbody|Watrbody/Drain:Drainage|UTM Z/E/N|Lat LongN/W|Elevation|Depth|Depos Environ|Habitat/Comm|Habitat|Slope|Aspect|Soil Type|For/Per/Sub|Assoc Spec|Type Specimen|Threat/Endang|T/E Date|Rare|Exotic/Native|Age|Sex|Ctrl Prop|Location|Object Status|Status Date
KATM   35953|KATM-00305|BIOLOGY|Plantae|Tracheophyta|Magnoliopsida|Poales|Cyperaceae|Carex|gmelinii|Gmelins sedge'|1|0|EA|Carex gmelinii  vascular plant specimens mounted on herbarium sheet||Jansen, Anna; Lipkin, Rob; Carlson, Matthew; Pearse, Ian|02-003|7/3/2002|COM/GD|||UAF Accession # 2004.001.Herb; UAF Catalog # UAM:Herb:60374; ALAAC # V143130; Photo # IP 1-8|ANDERSON, MARGARET M.|6/26/2013 0:00|Not provided|10/18/2004||QUAD: Afognak; Katmai National Park; Alaska Peninsula, Swikshak Lagoon, 0.5 km E of cabin|KATM|AK|NAD 27||||58.6N/153.76W __58 __36.3818 __ __153 __45.7977|2||||forb graminoid meadow; 100% vegetation cover; moist sandy soil over gravel; numerous|||||Calamagrostis canadensis, Leymus mollis, Epilobium angustifolium, Lupinus nootkatensis, Angelica lucida||||||||N|UAMN Herbarium - ALA|LOAN OUT - NON-NPS - NON-FEDERAL|2013
KATM   35954|KATM-00305|BIOLOGY|Plantae|Tracheophyta|Magnoliopsida|Lamiales|Plantaginaceae|Limosella|aquatica|awl-leaf mudwort --awlleaf mudwort --northern mudwort --water mudwort|1|0|EA|Limosella aquatica  vascular plant specimens mounted on herbarium sheet||Jansen, Anna; Lipkin, Rob; Carlson, Matthew; Pearse, Ian|02-014|7/3/2002|COM/GD|||UAF Accession # 2004.001.Herb; UAF Catalog # UAM:Herb:60375; ALAAC # V143131; Photo # IP 1-10,11|ANDERSON, MARGARET M.|6/26/2013 0:00|Not provided|10/18/2004||QUAD: Afognak; Katmai National Park; Alaska Peninsula, Swikshak Lagoon, Swikshak Spit vic., brackish pond and salt marsh S of Swikshak R. on Swikshak Spit|KATM|AK|NAD 27||||58.61N/153.72W __58 __37.0093 __ __153 __43.32|1||||halophytic wet sedge meadow; 100% vegetation cover; silty soil; rare|||||Carex ramenskii, Poa eminens, Carex lyngbyei, Festuca rubra, Potentilla egedii, Plantago maritima, Stellaria humifusa||||||||N|UAMN Herbarium - ALA|LOAN OUT - NON-NPS - NON-FEDERAL|2013
KATM   35955|KATM-00305|BIOLOGY|Plantae|Tracheophyta|Magnoliopsida|Poales|Poaceae|Festuca|brachyphylla|alpine fescue|1|0|EA|Festuca brachyphylla  vascular plant specimens mounted on herbarium sheet||Jansen, Anna; Lipkin, Rob; Carlson, Matthew; Pearse, Ian|02-031|7/4/2002|COM/GD|||UAF Accession # 2004.001.Herb; UAF Catalog # UAM:Herb:60376; ALAAC # V143132; Photo # AJ 1-13|ANDERSON, MARGARET M.|6/26/2013 0:00|Not provided|10/18/2004||QUAD: Afognak; Katmai National Park; Alaska Peninsula, Swikshak Lagoon, talus knob below peak 2750 N of Swikshak Lagoon'|KATM|AK|NAD 27||||58.62N/153.77W __58 __37.6139 __ __153 __46.6682|457||||herbaceous dwarf shrub tundra patches with open scree rubble; 135 degrees azimuth; 12 degrees slope; 85% vegetation cover; dry/moist talus and scree; rare|||||Oxytropis bryophila, Rhododendron camtschaticum||||||||N|UAMN Herbarium - ALA|LOAN OUT - NON-NPS - NON-FEDERAL|2013
KATM   35956|KATM-00305|BIOLOGY|Plantae|Tracheophyta|Magnoliopsida|Asterales|Asteraceae|Solidago|multiradiata|mountain goldenrod --Rocky Mountain goldenrod --manyray goldenrod --arctic goldenrod|1|0|EA|Solidago multiradiata  vascular plant specimens mounted on herbarium sheet||Jansen, Anna; Lipkin, Rob; Carlson, Matthew; Pearse, Ian|02-032|7/4/2002|COM/GD|||UAF Accession # 2004.001.Herb; UAF Catalog # UAM:Herb:60377; ALAAC # V143133; Photo # AJ 1-13|ANDERSON, MARGARET M.|6/26/2013 0:00|Parker, Carolyn L.|10/18/2004||QUAD: Afognak; Katmai National Park; Alaska Peninsula, Swikshak Lagoon, talus knob below peak 2750 N of Swikshak Lagoon'|KATM|AK|NAD 27||||58.62N/153.77W __58 __37.6139 __ __153 __46.6682|457||||herbaceous dwarf shrub tundra patches with open scree rubble; 135 degrees azimuth; 12 degrees slope; 85% vegetation cover; dry/moist talus and scree; rare|||||Oxytropis bryophila, Rhododendron camtschaticum||||||||N|UAMN Herbarium - ALA|LOAN OUT - NON-NPS - NON-FEDERAL|2013
KATM   35957|KATM-00305|BIOLOGY|Plantae|Tracheophyta|Magnoliopsida|Lamiales|Lentibulariaceae|Pinguicula|vulgaris|common butterwort|1|0|EA|Pinguicula vulgaris  vascular plant specimens mounted on herbarium sheet||Jansen, Anna; Lipkin, Rob; Carlson, Matthew; Pearse, Ian|02-033|7/4/2002|COM/GD|||UAF Accession # 2004.001.Herb; UAF Catalog # UAM:Herb:60378; ALAAC # V143134; Photo # AJ 1-13|ANDERSON, MARGARET M.|6/26/2013 0:00|Not provided|10/18/2004||QUAD: Afognak; Katmai National Park; Alaska Peninsula, Swikshak Lagoon, talus knob below peak 2750 N of Swikshak Lagoon'|KATM|AK|NAD 27||||58.62N/153.77W __58 __37.6139 __ __153 __46.6682|457||||herbaceous dwarf shrub tundra patches with open scree rubble; 135 degrees azimuth; 12 degrees slope; 85% vegetation cover; dry/moist talus and scree; rare|||||Oxytropis bryophila, Rhododendron camtschaticum||||||||N|UAMN Herbarium - ALA|LOAN OUT - NON-NPS - NON-FEDERAL|2013
KATM   35958|KATM-00305|BIOLOGY|Plantae|Tracheophyta|Magnoliopsida|Saxifragales|Crassulaceae|Rhodiola|integrifolia|ledge stonecrop|1|0|EA|Rhodiola integrifolia  vascular plant specimens mounted on herbarium sheet||Jansen, Anna; Lipkin, Rob; Carlson, Matthew; Pearse, Ian|02-038|7/4/2002|COM/GD|||UAF Accession # 2004.001.Herb; UAF Catalog # UAM:Herb:60379; ALAAC # V143135|ANDERSON, MARGARET M.|6/26/2013 0:00|Parker, Carolyn L.|10/18/2004||QUAD: Afognak; Katmai National Park; Alaska Peninsula, Swikshak Lagoon, peak 2750 N of Swikshak Lagoon'|KATM|AK|NAD 27||||58.63N/153.78W __58 __38.0239 __ __153 __47.0438|610||||dwarf shrub tundra; 90 degrees azimuth; 15 degrees slope; moist/dry soil; scattered/patchy|||||Carex microchaeta, Pedicularis lanata, Salix arctica, Festuca altaica, Vaccinium uliginosum||||||||N|UAMN Herbarium - ALA|LOAN OUT - NON-NPS - NON-FEDERAL|2013
KATM   35959|KATM-00305|BIOLOGY|Plantae|Tracheophyta|Magnoliopsida|Saxifragales|Saxifragaceae|Micranthes|nelsoniana|heartleaf saxifrage|1|0|EA|Micranthes nelsoniana nelsoniana vascular plant specimens mounted on herbarium sheet; was Saxifraga nelsoniana||Jansen, Anna; Lipkin, Rob; Carlson, Matthew; Pearse, Ian|02-046|7/4/2002|COM/GD|||UAF Accession # 2004.001.Herb; UAF Catalog # UAM:Herb:60380; ALAAC # V143136; Photo # AJ 1-20|ANDERSON, MARGARET M.|6/26/2013 0:00|Not provided|10/18/2004||QUAD: Afognak; Katmai National Park; Alaska Peninsula, Swikshak Lagoon, top of talus knob on peak 2750 N of Swikshak Lagoon'|KATM|AK|NAD 27||||58.63N/153.79W __58 __38.2177 __ __153 __47.4674|838||||180 degrees azimuth; 30 degrees slope; 10% vegetation cover; rare|||||Festuca altaica, Saxifraga bronchialis||||||||N|UAMN Herbarium - ALA|LOAN OUT - NON-NPS - NON-FEDERAL|2013
KATM   35960|KATM-00305|BIOLOGY|Plantae|Tracheophyta|Magnoliopsida|Apiales|Apiaceae|Heracleum|sphondylium|cow parsnip --common cowparsnip --cowparsnip|1|0|EA|Heracleum sphondylium ssp. montanum vascular plant specimens mounted on herbarium sheet ; originally called Heracleum lanatum but that synonym is not accepted by ITIS or ICMS||Jansen, Anna; Lipkin, Rob; Carlson, Matthew; Pearse, Ian|02-053|7/5/2002|COM/GD|||UAF Accession # 2004.001.Herb; UAF Catalog # UAM:Herb:60381; ALAAC # V143137|ANDERSON, MARGARET M.|6/26/2013 0:00|Not provided|10/18/2004||QUAD: Afognak; Katmai National Park; Alaska Peninsula, Swikshak Lagoon, 0.5 km E of cabin|KATM|AK|NAD 27||||58.6N/153.76W __58 __36.3818 __ __153 __45.7977|2||||forb graminoid meadow; 100% vegetation cover; moist sandy soil over gravel; scattered/patchy|||||Calamagrostis canadensis, Leymus mollis, Epilobium angustifolium, Lupinus nootkatensis, Angelica lucida||||||||N|UAMN Herbarium - ALA|LOAN OUT - NON-NPS - NON-FEDERAL|2013
KATM   35961|KATM-00305|BIOLOGY|Plantae|Tracheophyta|Magnoliopsida|Poales|Cyperaceae|Carex|pluriflora|manyflower sedge|1|0|EA|Carex pluriflora  vascular plant specimens mounted on herbarium sheet||Jansen, Anna; Lipkin, Rob; Carlson, Matthew; Pearse, Ian|02-059|7/6/2002|COM/GD|||UAF Accession # 2004.001.Herb; UAF Catalog # UAM:Herb:60382; ALAAC # V143138; Photo # AJ 1-25|ANDERSON, MARGARET M.|6/26/2013 0:00|Parker, Carolyn L.|10/18/2004||QUAD: Afognak; Katmai National Park; Alaska Peninsula, Swikshak Lagoon, cape and headland N of Swikshak Lagoon|KATM|AK|NAD 27||||58.63N/153.59W __58 __38.1596 __ __153 __35.8263|15||||low shrub graminoid forb meadow and fen; 100% vegetation cover; subhygric peaty soil with thick Sphagnum layer; rare|||||Myrica gale, Salix pulchra, Deschampsia cespitosa, Calamagrostis canadensis, Equisetum arvense||||||||N|UAMN Herbarium - ALA|LOAN OUT - NON-NPS - NON-FEDERAL|2013
KATM   35962|KATM-00305|BIOLOGY|Plantae|Tracheophyta|Magnoliopsida|Asterales|Asteraceae|Solidago|lepida|Canada goldenrod|1|0|EA|Solidago lepida vascular plant specimens mounted on herbarium sheet||Jansen, Anna; Lipkin, Rob; Carlson, Matthew; Pearse, Ian|02-066|7/6/2002|COM/GD|||UAF Accession # 2004.001.Herb; UAF Catalog # UAM:Herb:60383; ALAAC # V143139; Photo # AJ 1-27|ANDERSON, MARGARET M.|6/26/2013 0:00|Not provided|10/18/2004||QUAD: Afognak; Katmai National Park; Alaska Peninsula, Swikshak Lagoon, cape and headland N of Swikshak Lagoon|KATM|AK|NAD 27||||58.63N/153.59W __58 __38.1596 __ __153 __35.8263|46||||forb graminoid meadow; 100% vegetation cover; mesic soil; numerous|||||Calamagrostis canadensis, umbels||||||||N|UAMN Herbarium - ALA|LOAN OUT - NON-NPS - NON-FEDERAL|2013
